scene,state,tick,platforms,hazard_count,echo,hazard_phase,hazard_ticks,anchor_id,anchor_state,anchor_ticks,armed_count,cooldown_count,boss_warning,predicted_shots,boss_reboot,boss_stage,controller_expose,boss_expose,hp,bombs,score,lab,flashes
en-singularity-phase2-600,BOSS_FIGHT,217,2,0,NONE,NONE,0,101,COOLDOWN,445,0,2,0,0,88,2,0,0,100,3,0,false,false
en-singularity-victory-960,VICTORY,306,0,0,NONE,NONE,0,0,NONE,0,0,0,0,0,88,3,0,0,100,3,11576,false,false
en-singularity-victory-600,VICTORY,306,0,0,NONE,NONE,0,0,NONE,0,0,0,0,0,88,3,0,0,100,3,11576,false,false
zh-CN-singularity-route-960,RUNNING,7,3,1,MEMORY,SAFE,113,1,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-route-600,RUNNING,9,3,1,MEMORY,SAFE,111,1,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-memorywarning-960,RUNNING,180,3,1,MEMORY,WARNING,74,1,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-memorywarning-600,RUNNING,181,3,1,MEMORY,WARNING,73,1,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-memoryactive-960,RUNNING,255,3,1,MEMORY,ACTIVE,89,1,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-memoryactive-600,RUNNING,256,3,1,MEMORY,ACTIVE,88,1,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-stabilized-960,RUNNING,258,3,0,NONE,NONE,0,1,STABILIZED,599,0,0,0,0,0,0,0,0,100,3,250,false,true
zh-CN-singularity-stabilized-600,RUNNING,259,3,0,NONE,NONE,0,1,STABILIZED,598,0,0,0,0,0,0,0,0,100,3,250,false,true
zh-CN-singularity-blueprintactive-960,RUNNING,255,3,1,BLUEPRINT,ACTIVE,89,2,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-blueprintactive-600,RUNNING,256,3,1,BLUEPRINT,ACTIVE,88,2,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-kernelactive-960,RUNNING,255,3,1,KERNEL,ACTIVE,89,3,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-kernelactive-600,RUNNING,256,3,1,KERNEL,ACTIVE,88,3,READY,0,0,0,0,0,0,0,0,0,100,3,0,false,true
zh-CN-singularity-arrival-960,BOSS_WARNING,2,3,0,NONE,NONE,0,1,READY,0,0,0,0,0,0,1,0,0,100,3,0,false,true
zh-CN-singularity-arrival-600,BOSS_WARNING,2,3,0,NONE,NONE,0,1,READY,0,0,0,0,0,0,1,0,0,100,3,0,false,true
zh-CN-singularity-armed-960,BOSS_FIGHT,7,2,0,NONE,NONE,0,101,ARMED,499,1,0,0,0,0,1,0,0,100,3,0,false,true
zh-CN-singularity-armed-600,BOSS_FIGHT,8,2,0,NONE,NONE,0,101,ARMED,498,1,0,0,0,0,1,0,0,100,3,0,false,true
zh-CN-singularity-volleywarning-960,BOSS_FIGHT,59,2,0,NONE,NONE,0,101,ARMED,447,1,0,74,5,0,1,0,0,100,3,0,false,true
zh-CN-singularity-volleywarning-600,BOSS_FIGHT,60,2,0,NONE,NONE,0,101,ARMED,446,1,0,73,5,0,1,0,0,100,3,0,false,true
zh-CN-singularity-exposed-960,BOSS_FIGHT,62,2,0,NONE,NONE,0,102,COOLDOWN,600,0,2,0,0,0,1,150,150,100,3,0,false,true
zh-CN-singularity-exposed-600,BOSS_FIGHT,62,2,0,NONE,NONE,0,102,COOLDOWN,600,0,2,0,0,0,1,150,150,100,3,0,false,true
zh-CN-singularity-cooldown-960,BOSS_FIGHT,213,2,0,NONE,NONE,0,101,COOLDOWN,449,0,2,0,0,0,1,0,0,100,3,0,false,true
zh-CN-singularity-cooldown-600,BOSS_FIGHT,214,2,0,NONE,NONE,0,101,COOLDOWN,448,0,2,0,0,0,1,0,0,100,3,0,false,true
zh-CN-singularity-phase2-960,BOSS_FIGHT,216,2,0,NONE,NONE,0,101,COOLDOWN,446,0,2,0,0,89,2,0,0,100,3,0,false,true
zh-CN-singularity-phase2-600,BOSS_FIGHT,217,2,0,NONE,NONE,0,101,COOLDOWN,445,0,2,0,0,88,2,0,0,100,3,0,false,true
zh-CN-singularity-victory-960,VICTORY,306,0,0,NONE,NONE,0,0,NONE,0,0,0,0,0,88,3,0,0,100,3,11576,false,true
zh-CN-singularity-victory-600,VICTORY,306,0,0,NONE,NONE,0,0,NONE,0,0,0,0,0,88,3,0,0,100,3,11576,false,true
